code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
GEOL 590,"  Special Topics in Earth Sciences",14,"
Discussion or lab-based consideration of topical issues in earth sciences.",,,"May be repeated for credit; may be repeated in the same term for different topics; 8 total credits. 2 total completions.","Letter grade.
"
GEOL 595,"  Advanced Field Seminar in Geology",14,"
 A field course that emphasizes advanced field methods. Emphasis is placed on large-scale, detailed field work in complex structural terrains and on independent mapping that will lead to thesis/dissertation and/or publication. Previously offered as GEOL 695.","Prerequisites, GEOL 485 and 486.",,,"Letter grade.
"
GEOL 608,"  Continuum Mechanics in the Earth Sciences",3,"
 Applications of continuum mechanics in the earth sciences, including stress, strain, elasticity, and viscous flow. Numerical solutions to problems in heterogeneous finite strain including finite element analysis.","Prerequisites, GEOL 302, and PHYS 114, 116, or 118.",,,"Letter gradeSame as: ENEC 608.
"
GEOL 655,"  Recent Advances in Non-Traditional Stable Isotope Geochemistry",3,"
This seminar will introduce students to state of the art analytical techniques, current theories, and their applications in various geological processes regarding the non-traditional stable isotopes (e.g., Li, Mg, Fe, Mo, and Cr). After introducing some basic principles and analytical techniques of these so called "non-traditional" stable isotopes, students will present and discuss recent literature in this arena.",,"QI.",,"Letter grade.
"
GEOL 691H,"  Honors",3,"
By permission of the department. For details, see geology degree requirements.",,"EE- Mentored Research.",,"Letter grade.
"
GEOL 692H,"  Honors",3,"
 For details, see geology degree requirements.","Prerequisite, GEOL 691H.","EE- Mentored Research.",,"Letter grade.
"
GEOL 700,"  Research Seminar",1,"
Required of all entering graduate students or permission of the department. A topical seminar in current research topics in the earth sciences. Presentations by selected faculty with an emphasis on in-depth, critical analysis of current research literature. Two hours a week.",,,,"Letter grade.
"
GEOL 701,"  Graduate Seminar",0,"
",,,,
GEOL 703,"  Sedimentary Geology I",3,"
 Stratigraphic, sedimentologic, geochemical, petrologic, and paleontologic principles will be summarized. Emphasis is placed on both the techniques used in sedimentary geology and on the characteristics and processes that distinguish sedimentary environments.","Prerequisite, GEOL 402.",,,"Letter grade.
"
GEOL 704,"  Sedimentary Geology II",3,"
 Continuation of GEOL 703.","Prerequisite, GEOL 703.",,,"Letter grade.
"
GEOL 705,"  Advanced Petrology I",3,"
 Application of thermodynamics, phase equilibria, thermobarometry, radiogenic and stable isotope geology, and geochemical modeling to the study of igneous and metamorphic rocks and crustal evolution.","Prerequisites, CHEM 102, GEOL 304, MATH 233, and PHYS 105.",,,"Letter grade.
"
GEOL 706,"  Advanced Petrology II",3,"
 Continuation of GEOL 705.","Prerequisite, GEOL 705.",,,"Letter grade.
"
GEOL 707,"  Stratigraphic Micropaleontology: Mesozoic Calcareous Nannofossils",4,"
",,,,
GEOL 708,"  Stratigraphic Paleontology: Cenozoic Calcareous Nannofossils",4,"
",,,,
GEOL 710,"  Advanced Coastal Environmental Change",3,"
 Focuses on biological-physical couplings that shape coastal environments (i.e. coastal 'ecomorphodynamics') and determine how these environments change with climate and land use. Environments include: barrier islands, open ocean coastlines, and tidal wetlands. Grading based on presentations, participation, and a research proposal.","Prerequisites, GEOL 417, 502, or 503; permission of the instructor for students lacking the prerequisites.",,,"Letter gradeSame as: MASC 730, ENEC 710.
"
GEOL 711,"  Advanced Mineralogy",3,"
",,,,
GEOL 712,"  Isotope Geochemistry",3,"
 Survey of isotopic studies in geology; geochronology, crustal evolution, heat flow, paleotemperatures, origin of ore deposits.","Prerequisites, CHEM 102, GEOL 301, 303, and 304.",,,"Letter grade.
"
GEOL 804,"  Advanced Igneous Petrology",4,"
",,,,
GEOL 805,"  Igneous Geochemistry",4,"
",,,,
GEOL 806,"  Metamorphic Petrology",4,"
",,,,
GEOL 809,"  Tectonophysics",3,"
 Fundamental physical processes necessary for an understanding of plate tectonics; stress and strain in solids; elasticity and flexure; heat transfer; gravity; mantle rheology and convection.","Prerequisites, MATH 383, PHYS 201, and 211; Permission of the instructor for students lacking the prerequisites.",,,"Letter grade.
"
GEOL 851,"  Seminar in Stratigraphy",115,"
",,,,
GEOL 852,"  Seminar in Paleoclimatology",115,"
",,,,
GEOL 853,"  Seminar in Paleontology",115,"
",,,,
GEOL 854,"  Seminar in Continental Margins",0,"
",,,,
GEOL 855,"  Seminar in Sedimentology",115,"
",,,,
GEOL 856,"  Seminar in Isotope Geology",3,"
Introduction to the theory, methods and applications of stable isotopes to low- and high-temperature problems. Primary focus will be on the origin, natural abundance, and fractionation of carbon, hydrogen, and oxygen isotopes.",,,,"Letter grade.
"
GEOL 857,"  Seminar in Geochemistry",115,"
",,,,
GEOL 858,"  Seminar in Petrology",115,"
",,,,
GEOL 859,"  Seminar in Economic Geology",115,"
",,,,
GEOL 860,"  Seminar in Volcanology",3,"
All aspects of volcanism will be covered including seismology, geochemistry, deep structure, volcanic products and hazards. Readings of original papers will be stressed.",,,,"Letter grade.
"
GEOL 861,"  Seminar in Geophysics",0,"
Develop explanatory and predictive models of the earth's climate. Introductory level and focused on modeling past climate with the hope of understanding its future. A thorough discussion of current global warming/climate change issues, including the science, history, and controversy, are the main topics of the last third of the course.",,,,"Letter grade.
"
GEOL 862,"  Seminar in Seismology",3,"
",,,,
GEOL 863,"  Seminar in Structural Geology",115,"
",,,,
GEOL 864,"  Seminar in Tectonics",3,"
The goal of this seminar is to examine the Cretaceous to Eocene tectonics of the western United States to evaluate the putative flat slab processes responsible. Geologic research on the Laramide Orogeny predates plate tectonic theory, and the explosion of subsequent research warrants a reevaulation of existing theory.",,,,"Letter grade.
"
GEOL 900,"  Research in Geology",19,"
",,,,
GEOL 993,"  Master's Research and Thesis",3,"
",,,,
GEOL 994,"  Doctoral Research and Dissertation",3,"
",,,,
